Education (At least bachelor's degree) for Georgia by County
Population Ages 25+
"All Races (includes Hispanic/Latino), Both Sexes, 2018-2022"
Sorted by Value

County,FIPS,Value (Percent),People (Education: At Least Bachelor's Degree),Rank within US (of 3143 counties)
"Hart County",13147,18.3,3483,"2,060"
"Jasper County",13159,18.3,1876,"2,049"
"Dade County",13083,18.3,2068,"2,047"
"Spalding County",13255,18.3,8460,"2,044"
"McDuffie County",13189,18.4,2703,"2,022"
"Lanier County",13173,18.4,1210,"2,017"
"Bleckley County",13023,18.6,1513,"1,986"
"Whitfield County",13313,18.6,12408,"1,984"
"Tift County",13277,18.7,5043,"1,959"
"Baker County",13007,19.0,390,"1,918"
"Montgomery County",13209,19.6,1120,"1,817"
"Madison County",13195,19.6,4075,"1,813"
"Walker County",13295,19.7,9404,"1,801"
"Miller County",13201,19.7,801,"1,799"
"Pike County",13231,20.2,2631,"1,706"
"Liberty County",13179,20.2,7635,"1,688"
"Troup County",13285,20.3,9395,"1,672"
"Clayton County",13063,20.6,38243,"1,623"
"Bartow County",13015,21.0,15392,"1,561"
"Barrow County",13013,21.2,11800,"1,534"
"Carroll County",13045,21.2,16239,"1,526"
"Camden County",13039,21.7,7694,"1,461"
"Sumter County",13261,22.2,4100,"1,404"
"Floyd County",13115,22.3,14618,"1,382"
"Newton County",13217,22.6,16502,"1,341"
"Oglethorpe County",13221,22.7,2388,"1,334"
"Peach County",13225,22.9,4123,"1,297"
"Habersham County",13137,22.9,7183,"1,296"
"White County",13311,23.1,4607,"1,273"
"Fannin County",13111,23.2,4608,"1,266"
"Catoosa County",13047,23.2,11044,"1,263"
"Dougherty County",13095,23.3,12859,"1,254"
"Gilmer County",13123,23.4,5492,"1,237"
"Baldwin County",13009,23.5,6531,"1,233"
"Richmond County",13245,23.6,31936,"1,224"
"Thomas County",13275,23.8,7415,"1,187"
"Walton County",13297,24.3,15946,"1,130"
"Pickens County",13227,24.3,5980,"1,129"
"Effingham County",13103,25.2,10753,"1,021"
"Union County",13291,25.5,4992,"996"
"Hall County",13139,25.5,34481,"993"
"Putnam County",13237,25.6,4162,"989"
"Bibb County",13021,25.9,26667,"967"
"Lowndes County",13185,26.1,18285,"947"
"Jackson County",13157,26.5,13798,"907"
"Paulding County",13223,26.5,29620,"906"
"Henry County",13151,27.5,43084,"819"
"Rabun County",13241,28.0,3690,"778"
"Rockdale County",13247,28.1,17602,"773"
"Muscogee County",13215,28.4,38194,"754"
"Monroe County",13207,28.6,5657,"746"
"Bulloch County",13031,29.6,13344,"685"
"Douglas County",13097,29.9,28041,"676"
"Morgan County",13211,29.9,4293,"673"
"Chattahoochee County",13053,30.0,1335,"663"
"Glynn County",13127,30.6,18419,"626"
"Towns County",13281,32.0,3056,"545"
"Houston County",13153,32.0,34499,"543"
"Lumpkin County",13187,32.0,6645,"541"
"Harris County",13145,32.4,7960,"515"
"Lee County",13177,32.6,6942,"502"
"Greene County",13133,33.4,4731,"461"
"Bryan County",13029,33.9,9558,"439"
"Coweta County",13077,34.1,34252,"432"
"Dawson County",13085,35.5,6943,"371"
"Chatham County",13051,36.1,73013,"348"
"Columbia County",13073,37.4,39223,"308"
"Gwinnett County",13135,38.9,238789,"258"
"Cherokee County",13057,39.5,72410,"237"
"DeKalb County",13089,46.7,243821,"117"
"Fayette County",13113,47.2,38519,"110"
"Clarke County",13059,47.9,35129,"100"
"Cobb County",13067,49.7,258297,"84"
"Oconee County",13219,53.5,14688,"54"
"Forsyth County",13117,56.2,93245,"39"
"Fulton County",13121,57.1,416868,"36"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 12/2/2024. Available from https://hdpulse.nimhd.nih.gov

Notes:
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education (At least bachelor's degree), see the dictionary at http://hdpulse.nimhd.nih.gov/data/dictionary.php#education."
